date	edition	section	page	length	head	hash	year	month
text592027	2016-01-01	朝刊	３総合	3	1288	解散時期、政権見極め　支持率・株価も考慮か　同日選視野	8b94af77cf10b662e4728e89257d252b	2016	1
text592028	2016-01-01	朝刊	３総合	3	595	大統領府が談話、世論沈静化図る　日韓合意受け２度目	2c974c3cdb7a2e995fda5316d1bf6961	2016	1
text592029	2016-01-01	朝刊	１経済	4	3214	（新発想で挑む　地方の現場から：１）常識を打ち破ろう　水田にトウモロコシ、農の救世主	845f04b7f5bf7b8a3641a959bcbb93ba	2016	1
text592030	2016-01-01	朝刊	１経済	4	983	「中国はいずれＴＰＰに参加」　「『Ｇゼロ』後の世界」著者、イアン・ブレマー氏	ffbb56d8ce52e4faa11e2b4cc2eec56f	2016	1
text592031	2016-01-01	朝刊	１外報	7	375	国産空母の建造、中国政府認める	e3b5c2a6947176d8c9645db599ab8daa	2016	1
text592032	2016-01-01	朝刊	１外報	7	497	韓国、大学生３０人を検挙　慰安婦問題合意で抗議行動	5412a90ca34a10016410bea6a15c0d41	2016	1
text592033	2016-01-01	朝刊	１外報	7	125	（地球２４時）台湾・馬総統、元慰安婦と面会	7c55fe3d1ac26476b2dd7f8e31a33db4	2016	1
text592034	2016-01-01	朝刊	新年特集別刷０７	7	1691	未踏峰、学生の挑戦　新年特集第６部・山の日始まる　【大阪】	2dc85a2badfceb4c4ea771017db4af35	2016	1
text592035	2016-01-01	朝刊	新年特集別刷０３	7	1639	ミヤネ流司会術！　新年特集第３部・エンタメ	8f762ba278c257b60d8ede09c1503fb6	2016	1
text592036	2016-01-01	朝刊	２外報	9	1713	（世界はうたう）ピーター・バラカンさん、クリス・ペプラーさんに聞く	dafe45e5026c53126801d7acd6c9aad4	2016	1
text592037	2016-01-01	朝刊	オピニオン１	13	5324	（選べない国で）藤田孝典さん、安田菜津紀さん、工藤啓さん	bccaac8f1bc4aaf902d6a4ae53d67395	2016	1
text592038	2016-01-01	朝刊	オピニオン２	15	1818	（社説）分断される世界　連帯の再生に向き合う年	edec86e239d49672373be8a3144b77d6	2016	1
text592039	2016-01-01	朝刊	オピニオン２	15	944	（社説余滴）我らの敵はそこにあらず　国末憲人	82226ceb3aa0bac2e5437ee898650159	2016	1
text592040	2016-01-01	朝刊	オピニオン２	15	480	（声）今年こそ　安保法とアベ政治に向けて　【大阪】	f6021da887906bab66c1c36c08fa1a8e	2016	1
text592041	2016-01-01	朝刊	スポーツ２	25	2085	（イチオシ）サニブラウン・アブデルハキーム　五輪へ、恐れず走る	26d22824ce64a6c6113a2836d32c6497	2016	1
text592042	2016-01-01	朝刊	山口・２地方	28	2086	投票前向き、６割超　県内の高校生６３５２人、朝日新聞社アンケート　／山口県	e4736fe954d163069d57199b0c60f168	2016	1
text592043	2016-01-01	朝刊	大阪市内・１地方	29	2611	（オオサカ人：１）トンプソンルークさん　３４歳　ラグビー・近鉄ライナーズ選手／大阪府	2707875ce89704877e1f02e2b3cc52d0	2016	1
text592044	2016-01-01	朝刊	京都市内・１地方	29	300	大卒就職内定率、調査開始後最高の７３．９％　労働局発表　／京都府	3b45324c10b6eb0549d8323b7821286b	2016	1
text592045	2016-01-01	朝刊	ちば首都圏・１地方	29	2608	（わたしらしく　そこに憲法：１）いま、この時、僕らなりの表現　／千葉県	477e53fee76053c3b325f6478e3451ef	2016	1
text592046	2016-01-01	朝刊	ちば首都圏・１地方	29	607	みんな笑顔で年越し「千葉笑い」　／千葉県	aeb1daf6691a0ce461b82d55bc2bc24b	2016	1
text592047	2016-01-01	朝刊	横浜・１地方	29	2100	（かながわ未来予想図：１）走り出す、無人タクシー　藤沢で実証実験　／神奈川県	b2ddd33e2fdb26b546d15b998ea6ff82	2016	1
text592048	2016-01-01	朝刊	熊本全県・１地方	29	2737	（私論・漱石　来熊１２０年）色あせぬ漱石の世界観　姜尚中さん　／熊本県	848a31de41629ca2d439d2b26c9c0e18	2016	1
text592049	2016-01-01	朝刊	鹿児島全県・１地方	29	417	黒の王国かごしま　／鹿児島県	a3782dbb2e7cad59efd38a58b62bdb3e	2016	1
text592050	2016-01-01	朝刊	静岡・１地方	29	1734	（しずおか現代世相史　Ｏｎｅ　ｄａｙ　Ｓｏｍｅ　ｄａｙ：１）浜岡ＣＭ放映　１９８５年度　／静岡県	3d23dd6e46ed27e1d693dfb1cce170e5	2016	1
text592051	2016-01-01	朝刊	特設Ａ	30	3609	安倍政権、３度目の審判　参院選・予想される顔ぶれ	dce505cd8560989a3abbbe0f2c4e07ed	2016	1
text592052	2016-01-01	朝刊	２社会	38	538	日本の魅力、三重から世界へ　外国人観光客、誘致狙う　伊勢志摩サミット　【名古屋】	da9f26737df0fcc077702a84ba9ee44d	2016	1
text592053	2016-01-03	朝刊	１総合	1	200	折々のことば：２６９　鷲田清一	98ed07b76254d423d5433b002ecc9cce	2016	1
text592054	2016-01-03	朝刊	３総合	3	605	元慰安婦との面会、日韓議連が検討	e3fc394863a49efeb6c3ec25e84c8654	2016	1
text592055	2016-01-03	朝刊	グローブ６面	6	1219	グローブ１７４号＜島国の島々＞世界遺産と島おこし　長崎県・野崎島	d245056365b47c9d63df3245407b152a	2016	1
text592056	2016-01-03	朝刊	１外報	7	239	タリバーン自爆、少年ら２人死亡　アフガンの仏料理店	d7487d7f4c087e6b40426d8cb649f7d1	2016	1
text592057	2016-01-03	朝刊	１外報	7	1821	（世界はうたう：２）９３年にネオナチ糾弾「愛への叫び」＠ドイツ　ヒット再び、難民にエール　	1fe4d2405524d533efe1bc2d2e46d2ad	2016	1
text592058	2016-01-03	朝刊	１外報	7	373	「祖国の統一、死活的課題」　金正恩氏、新年の辞	e901440fbce87ce4f19160e2ca9a7aca	2016	1
text592059	2016-01-03	朝刊	１外報	7	287	テロ情報で２駅閉鎖　独ミュンヘン	290a079949ae57132b534cfc93f2f3cf	2016	1
text592060	2016-01-03	朝刊	１外報	7	120	慰安婦問題合意「容認できない」　北朝鮮報道官	8b19d2bb8535cdb203086d77b8a9510b	2016	1
text592061	2016-01-03	朝刊	オピニオン１	8	3404	（フォーラム）１８歳：上　どう変わる	bca21e3fa5f3ec2aaf4b93cdbc3cb75c	2016	1
text592062	2016-01-03	朝刊	グローブ９面	9	2817	グローブ１７４号＜世界のスポーツ：７７＞囲碁の普及、キューバでＧＯ！	4ccd430145a10e9eb7809d39fb374019	2016	1
text592063	2016-01-03	朝刊	グローブ１０面	10	877	グローブ１７４号＜私の海外サバイバル：１１０＞ストックホルム　スウェーデン　両角達平	2aea6a6a2f8349aca8b439f35903aa95	2016	1
text592064	2016-01-03	朝刊	グローブ１０面	10	1819	グローブ１７４号＜いまを読む＞オペラの舞台にマルクス、レーニン　ワーグナーの聖地で続く実験　北川千香子	f0c1b4fdb69a2ce8ee59cedc7332cf57	2016	1
text592065	2016-01-03	朝刊	オピニオン２	11	1832	（社説）孤立社会を超えて　市民と行政の協働築こう	3a44704624f8d40807c78054176ac37e	2016	1
text592066	2016-01-03	朝刊	オピニオン２	11	360	（声）この人に期待　メルケル首相は世界の指導者に	1183136614d058f8107a9242e5a55d47	2016	1
text592067	2016-01-03	朝刊	グローブ１１面	11	1229	グローブ１７４号＜見出しを読み解く＞“Ｏｎ　ｃｏｌｌｅｇｅ　ｃａｍｐｕｓｅｓ，　ｓｅｐａｒａｔｅ　ｉｓ　ｓｔｉｌｌ　ｕｎｅｑｕａｌ”	757b4f683269b7b3cb6e1f8922e68923	2016	1
text592068	2016-01-03	朝刊	グローブ１２面	12	1935	グローブ１７４号＜現場を旅する：１００＞スービック、米軍基地から経済特区へ	fceaa65408f10bdb8f6f445c98cb55d5	2016	1
text592069	2016-01-03	朝刊	グローブ１３面	13	2750	グローブ１７４号＜パリの書店から＞テロに明け暮れたフランス	276cf7862fb672587da0d12b6216ed1f	2016	1
text592070	2016-01-03	朝刊	岐阜全県・１地方	25	1441	（杉原千畝をたずねて：２）優しかった日本人　子どもら、共に遊んだ　／岐阜県	1093a08dc43414e9d8f13554bfd23002	2016	1
text592071	2016-01-03	朝刊	岩手全県・１地方	33	1491	（まち・ひと・しごと２０４０：２）未完成　人を集めたい、３０年後も　／岩手県	a311c27ee7aee28f5ef80fca179ca78c	2016	1
text592072	2016-01-03	朝刊	ちば首都圏・１地方	33	1609	（わたしらしく　そこに憲法：２）ＮＹの沿道「あなたがゲイであることは素晴らしい」／千葉県	8b71d241ea29b6e5d4f85f42bfff9e18	2016	1
text592073	2016-01-03	朝刊	栃木全県・１地方	33	1384	（＠１８：１）児童養護施設　ここにいるのは兄弟みたいな関係　／栃木県	34ab064c09b5382b7737fd253d767263	2016	1
text592074	2016-01-03	朝刊	群馬全県・１地方	33	1691	（海を越える：２）ＮＰＯ法人・日本紛争予防センター理事長　瀬谷ルミ子さん　３８歳　／群馬県	75cc8c684d56253b34d35302396f8e47	2016	1
text592075	2016-01-03	朝刊	２社会	38	1188	陛下の訪問、友情の象徴に　５４年前歓迎のフィリピン男性、期待	695fcb65cabe88e6a15f2824626b7448	2016	1
text592076	2016-01-03	朝刊	１社会	39	1980	（ネガウ　モトメル：２）理想の恋人欲しい　「お薦め」合コン中に解析	01a2f470ea1f056e88480463c3c7f223	2016	1
text592077	2016-01-04	朝刊	１総合	1	1285	（１８歳をあるく：２）私の見せ方、自分で決める	6ec6336fd0b1271bf44916100f65a6d1	2016	1
text592078	2016-01-04	朝刊	１総合	1	617	（天声人語）余得なしのカレンダー	00129157caf060fa71ea558e3b1fd334	2016	1
text592079	2016-01-04	朝刊	１総合	1	722	インデックス　１月４日	a3488ed68e880c5ed06fda7ae60d98dc	2016	1
text592080	2016-01-04	夕刊	１総合	1	790	首相「参院選、自公で過半数確保」　改憲「国民的議論を」　通常国会開会	cb1c36c08b38554f70d8a8983d79b087	2016	1
text592081	2016-01-04	夕刊	１総合	1	797	サウジ、イランと断交　宗教指導者死刑巡り対立	ac4a09d1b7053df639b2095f1d45812b	2016	1
text592082	2016-01-04	夕刊	１総合	1	817	交通事故死者４１１７人、昨年１５年ぶり増　６５歳以上が過半数　飲酒死亡事故減る	fd10c835c9e8511f83b7d92f75b71411	2016	1
text592083	2016-01-04	朝刊	１総合	1	1179	古い水道管、漏れ深刻　２３６事業体、むだになる水２割超　人口減り予算不足【西部】	d76e0e3453b0633b1b0f47b403eb9ee1	2016	1
text592084	2016-01-04	朝刊	２総合	2	1157	通常国会きょう召集　軽減税率・ＴＰＰ・安保など論点	0d2081aea9c78d19fcb01b9c8252889c	2016	1
text592085	2016-01-04	夕刊	２総合	2	519	ＩＳ「スパイ５人殺害」　動画公開　英国への攻撃予告	f533b7209c96b5d332e5dea301372fe7	2016	1
text592086	2016-01-04	朝刊	３総合	3	497	地震予測地図、防災行動につながらず　東京都市大・慶応大が調査	6ee8913cfd5b8c067a1ef67f19f719f3	2016	1
text592087	2016-01-04	夕刊	文化芸能	3	635	２２世紀「創造する心」守れ　ナオト・インティライミ主演「ＤＮＡ－ＳＨＡＲＡＫＵ」	d5b845364f60375c19cec1efe2798845	2016	1
text592088	2016-01-04	朝刊	１外報	6	1724	（世界はうたう：３）タリバーンの壮行歌＠アフガニスタン　禁止一転、「聖戦」の宣伝に	e8729772c6332f36937fd88340b6a431	2016	1
text592089	2016-01-04	朝刊	１外報	6	803	（２０１６台湾総統選）親民党・宋氏、存在感　話術巧み、２大政党追う	7f35825cfccbbb5d3d021d6767452034	2016	1
text592090	2016-01-04	朝刊	１外報	6	706	シーア派指導者ら死刑　サウジが執行、イラン反発	395d948c951542d9db8803ea7668d1d4	2016	1
text592091	2016-01-04	朝刊	１外報	6	595	竹島上陸・天皇へ謝罪要求、背景つづる　李明博氏の側近が回顧録	bf0f68ed1bbc917af3fb60acb1b5e4f7	2016	1
text592092	2016-01-04	夕刊	１社会	7	636	（夕映え）無益な争い避けた武士　【名古屋】	3b350ba1fb18f242a41a4cfd0348e6b5	2016	1
text592093	2016-01-04	夕刊	１社会	7	1253	仕事始め、使命新た　サミット「万全の体制を」・制服復活で気持ちもオン　【名古屋】	fc2687c544b99147bfbe69cdac4797dd	2016	1
text592094	2016-01-04	朝刊	オピニオン２	8	1891	（社説）２０１６年の世界　扇動を排し市民の関与を	86dc9a607ce14f6e08d18fcdc8dddf88	2016	1
text592095	2016-01-04	夕刊	夕刊憲法	8	946	（新聞と９条：１６８）沖縄から：５８	f42c6ac99b6e78e6dc85cbbf2ae01233	2016	1
text592096	2016-01-04	朝刊	歌壇俳壇	11	2078	朝日歌壇＝入選取り消しあり	fe4d04e7a63e17e25e44bba21287028b	2016	1
text592097	2016-01-04	朝刊	青森全県・１地方	23	1057	東通と大間、適合審査長期化か　県内の原子力施設、今年の焦点　／青森県	416e04ad01794133f12ea2f365a1d0eb	2016	1
text592098	2016-01-04	朝刊	三重全県・１地方	23	260	「安保法反対」街頭で呼びかけ　鈴鹿の市民団体、２３人参加　／三重県	bfc6ed8ed7c6dc2b8c4e8f711fb1484f	2016	1
text592099	2016-01-04	朝刊	埼玉・１地方	27	350	拉致解決を訴え、署名運動今年も　川口で被害者家族ら　／埼玉県	079f5fea6896e2b8ef058bd4d8a3b589	2016	1
text592100	2016-01-04	朝刊	鹿児島全県・１地方	29	921	県内、７首長選　知事、参院Ｗ選か　鹿児島市長も　／鹿児島県	ff462209dde0998e9bf45ffe01ac7741	2016	1
text592101	2016-01-04	朝刊	山口・１地方	29	1563	（１８歳が選ぶ）「関心あるテーマ」２位　消費税率アップ　／山口県	a7683cd34c4225c9af5b518e83b4c247	2016	1
